memory [MHz], graphics [MHz]
5001 MHz, 1590 MHz
5001 MHz, 1575 MHz
5001 MHz, 1560 MHz
5001 MHz, 1545 MHz
5001 MHz, 1530 MHz
5001 MHz, 1515 MHz
5001 MHz, 1500 MHz
5001 MHz, 1485 MHz
5001 MHz, 1470 MHz
5001 MHz, 1455 MHz
5001 MHz, 1440 MHz
5001 MHz, 1425 MHz
5001 MHz, 1410 MHz
5001 MHz, 1395 MHz
5001 MHz, 1380 MHz
5001 MHz, 1365 MHz
5001 MHz, 1350 MHz
5001 MHz, 1335 MHz
5001 MHz, 1320 MHz
5001 MHz, 1305 MHz
5001 MHz, 1290 MHz
5001 MHz, 1275 MHz
5001 MHz, 1260 MHz
5001 MHz, 1245 MHz
5001 MHz, 1230 MHz
5001 MHz, 1215 MHz
5001 MHz, 1200 MHz
5001 MHz, 1185 MHz
5001 MHz, 1170 MHz
5001 MHz, 1155 MHz
5001 MHz, 1140 MHz
5001 MHz, 1125 MHz
5001 MHz, 1110 MHz
5001 MHz, 1095 MHz
5001 MHz, 1080 MHz
5001 MHz, 1065 MHz
5001 MHz, 1050 MHz
5001 MHz, 1035 MHz
5001 MHz, 1020 MHz
5001 MHz, 1005 MHz
5001 MHz, 990 MHz
5001 MHz, 975 MHz
5001 MHz, 960 MHz
5001 MHz, 945 MHz
5001 MHz, 930 MHz
5001 MHz, 915 MHz
5001 MHz, 900 MHz
5001 MHz, 885 MHz
5001 MHz, 870 MHz
5001 MHz, 855 MHz
5001 MHz, 840 MHz
5001 MHz, 825 MHz
5001 MHz, 810 MHz
5001 MHz, 795 MHz
5001 MHz, 780 MHz
5001 MHz, 765 MHz
5001 MHz, 750 MHz
5001 MHz, 735 MHz
5001 MHz, 720 MHz
5001 MHz, 705 MHz
5001 MHz, 690 MHz
5001 MHz, 675 MHz
5001 MHz, 660 MHz
5001 MHz, 645 MHz
5001 MHz, 630 MHz
5001 MHz, 615 MHz
5001 MHz, 600 MHz
5001 MHz, 585 MHz
5001 MHz, 570 MHz
5001 MHz, 555 MHz
5001 MHz, 540 MHz
5001 MHz, 525 MHz
5001 MHz, 510 MHz
5001 MHz, 495 MHz
5001 MHz, 480 MHz
5001 MHz, 465 MHz
5001 MHz, 450 MHz
5001 MHz, 435 MHz
5001 MHz, 420 MHz
5001 MHz, 405 MHz
5001 MHz, 390 MHz
5001 MHz, 375 MHz
5001 MHz, 360 MHz
5001 MHz, 345 MHz
5001 MHz, 330 MHz
5001 MHz, 315 MHz
5001 MHz, 300 MHz
405 MHz, 645 MHz
405 MHz, 630 MHz
405 MHz, 615 MHz
405 MHz, 600 MHz
405 MHz, 585 MHz
405 MHz, 570 MHz
405 MHz, 555 MHz
405 MHz, 540 MHz
405 MHz, 525 MHz
405 MHz, 510 MHz
405 MHz, 495 MHz
405 MHz, 480 MHz
405 MHz, 465 MHz
405 MHz, 450 MHz
405 MHz, 435 MHz
405 MHz, 420 MHz
405 MHz, 405 MHz
405 MHz, 390 MHz
405 MHz, 375 MHz
405 MHz, 360 MHz
405 MHz, 345 MHz
405 MHz, 330 MHz
405 MHz, 315 MHz
405 MHz, 300 MHz
